"","na.omit(tex)[1:10]"
"1563","Parasites & Vectors"
"1564","Malaria Journal"
"1565","Trends in Parasitology"
"1566","Veterinary Parasitology"
"1567","Parasitology Research"
"1568","Acta Tropica"
"1569","International Journal for Parasitology"
"1570","Tropical Medicine & International Health"
"1571","European Urology"
"1572","The Journal of Urology"
"1573","Journal of the American Society of Nephrology"
"1574","Kidney International"
"1575","American Journal of Kidney Diseases"
"1576","Clinical Journal of the American Society of Nephrology"
"1577","BJU International"
"1578","Nephrology Dialysis Transplantation"
"1579","Nature Reviews. Nephrology"
"1580","American Journal of Physiology-Renal Physiology"
"1581","Stroke"
"1582","Journal of Vascular Surgery"
"1583","Hypertension"
"1584","Arteriosclerosis, Thrombosis, and Vascular Biology"
"1585","Atherosclerosis"
"1586","Journal of the American Heart Association"
"1587","Journal of cerebral blood flow and metabolism"
"1588","Journal of Hypertension"
"1589","Nutrition, Metabolism and Cardiovascular Diseases"
"1590","International Journal of Stroke"
"1591","Veterinary Microbiology"
"1592","Veterinary Parasitology"
"1593","The Veterinary Journal"
"1594","Preventive Veterinary Medicine"
"1595","BMC Veterinary Research"
"1596","Veterinary Research"
"1597","Journal of Veterinary Internal Medicine"
"1598","Veterinary Pathology"
"1599","Transboundary and Emerging Diseases"
"1600","Theriogenology"
"1601","PLOS Pathogens"
"1602","Journal of Virology"
"1603","Vaccine"
"1604","Virology"
"1605","Antiviral Research"
"1606","Viruses"
"1607","Journal of General Virology"
"1608","Current Opinion in Virology"
"1609","Journal of Viral Hepatitis"
"1610","Retrovirology"
"1611","African Affairs"
"1612","Journal of African Economies"
"1613","Journal of Eastern African Studies"
"1614","African Development Review"
"1615","Review of African Political Economy"
"1616","African Studies Review"
"1617","Urban Forum"
"1618","Development Southern Africa"
"1619","The Journal of Modern African Studies"
"1620","Journal of Southern African Studies"
"1621","American Literary History"
"1622","American Literature"
"1623","Contemporary Literature"
"1624","MFS Modern Fiction Studies"
"1625","MELUS: Multi-Ethnic Literature of the United States"
"1626","The Journal of American Culture"
"1627","Journal of American Studies"
"1628","Journal of the Early Republic"
"1629","Studies in American Indian Literatures"
"1630","The American Scholar"
"1631","The China Quarterly"
"1632","Journal of Contemporary China"
"1633","Journal of Contemporary Asia"
"1634","The Pacific Review"
"1635","Journal of Asian Economics"
"1636","The China Journal"
"1637","Asian Economic Policy Review"
"1638","Eurasian Geography and Economics"
"1639","Asia Pacific Viewpoint"
"1640","Asia Pacific Business Review"
"1641","The Canadian Geographer"
"1642","Canadian Public Policy"
"1643","Canadian Review of Sociology"
"1644","Canadian Public Administration"
"1645","Canadian Journal of Political Science/Revue canadienne de science politique"
"1646","The School of Public Policy Publications"
"1647","Canadian Ethnic Studies"
"1648","Canadian Foreign Policy Journal"
"1649","Canadian Historical Review"
"1650","Journal of Canadian Studies"
"1651","China Economic Review"
"1652","The China Quarterly"
"1653","Journal of Contemporary China"
"1654","The China Journal"
"1655","China & World Economy"
"1656","Journal of Current Chinese Affairs"
"1657","Chinese Journal of Communication"
"1658","Chinese Management Studies"
"1659","Journal of Chinese Political Science"
"1660","China Information"
"1661","New Media & Society"
"1662","Journal of Communication"
"1663","Journal of Computer-Mediated Communication"
"1664","Digital Journalism"
"1665","Public Relations Review"
"1666","International Journal of Communication"
"1667","Journalism"
"1668","Communication Research"
"1669","Journalism Studies"
"1670","Journal of Advertising"
"1671","Journal of dance medicine & science"
"1672","Research in Dance Education"
"1673","TDR/The Drama Review"
"1674","Research in Drama Education: The Journal of Applied Theatre and Performance"
"1675","Journal of Dance Education"
"1676","Dance Research Journal"
"1677","Text and Performance Quarterly"
"1678","Performance Research"
"1679","Theatre Journal"
"1680","Shakespeare Quarterly"
"1681","English for Specific Purposes"
"1682","College English"
"1683","World Englishes"
"1684","Journal of English as a Lingua Franca"
"1685","English Journal"
"1686","English Language & Linguistics"
"1687","English World-Wide"
"1688","English Today"
"1689","English Teaching Forum"
"1690","English in Education"
"1691","Synthese"
"1692","Noûs"
"1693","The British Journal for the Philosophy of Science"
"1694","Philosophy of Science"
"1695","Erkenntnis"
"1696","Journal of Philosophical Logic"
"1697","Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics"
"1698","Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences"
"1699","Journal of Philosophy"
"1700","Philosopher's Imprint"
"1701","Ethnic and Racial Studies"
"1702","Journal of Ethnic and Migration Studies"
"1703","Race Ethnicity and Education"
"1704","European Journal of Cultural Studies"
"1705","Ethnicities"
"1706","International Journal of Cultural Policy"
"1707","International Journal of Cultural Studies"
"1708","Cultural Studies"
"1709","Identities"
"1710","Nationalities Papers"
"1711","Psychology of Women Quarterly"
"1712","Women's Studies International Forum"
"1713","Feminist Media Studies"
"1714","Signs"
"1715","Feminism & Psychology"
"1716","Hypatia"
"1717","European Journal of Women's Studies"
"1718","International Feminist Journal of Politics"
"1719","Feminist Review"
"1720","Feminist Theory"
"1721","Cinema Journal"
"1722","Adaptation"
"1723","Critical Studies in Television"
"1724","Film Quarterly"
"1725","Screen"
"1726","Film History: An International Journal"
"1727","NECSUS. European Journal of Media Studies"
"1728","Journal of Popular Film and Television"
"1729","New Review of Film and Television Studies"
"1730","Journal of British Cinema and Television"
"1731","Language Learning"
"1732","TESOL Quarterly"
"1733","Bilingualism: Language and Cognition"
"1734","Language Teaching Research"
"1735","Journal of Second Language Writing"
"1736","Language Teaching"
"1737","Studies in Second Language Acquisition"
"1738","English Language Teaching"
"1739","International Journal of Bilingual Education and Bilingualism"
"1740","International Journal of Bilingualism"
"1741","French Politics"
"1742","Journal of French Language Studies"
"1743","Modern & Contemporary France"
"1744","French Cultural Studies"
"1745","French Historical Studies"
"1746","Contemporary French Civilization"
"1747","French Politics, Culture & Society"
"1748","Pour"
"1749","French Studies"
"1750","French Review, Champaign"
"1751","Sex Roles"
"1752","Psychology of Women Quarterly"
"1753","Psychology of Men & Masculinity"
"1754","Gender & Society"
"1755","Gender, Work & Organization"
"1756","Women's Studies International Forum"
"1757","Feminist Media Studies"
"1758","Gender, Place & Culture"
"1759","Psychology of Sexual Orientation and Gender Diversity"
"1760","Social Politics: International Studies in Gender, State & Society"
"1761","The Journal of Economic History"
"1762","Business History"
"1763","The Economic History Review"
"1764","The American Historical Review"
"1765","Past & Present"
"1766","Journal of American History"
"1767","Comparative Studies in Society and History"
"1768","Journal of Historical Geography"
"1769","History and Theory"
"1770","Journal of Global History"
"1771","The Modern Language Journal"
"1772","Poetics"
"1773","Emotion, Space and Society"
"1774","Consumption Markets & Culture"
"1775","Journal of Sociolinguistics"
"1776","Digital Scholarship in the Humanities"
"1777","Public Culture"
"1778","International Journal of the Sociology of Language"
"1779","Games and Culture"
"1780","ACME: An International E-Journal for Critical Geographies"
"1781","Journal of Memory and Language"
"1782","Language Learning"
"1783","Applied Linguistics"
"1784","Applied Psycholinguistics"
"1785","Lingua"
"1786","Studies in Second Language Acquisition"
"1787","Natural Language & Linguistic Theory"
"1788","Language"
"1789","Language, Cognition and Neuroscience"
"1790","International Journal of Bilingualism"
"1791","Latin American Perspectives"
"1792","Latin American Politics and Society"
"1793","Latin American Research Review"
"1794","Journal of Latin American Studies"
"1795","Latino Studies"
"1796","Bulletin of Latin American Research"
"1797","Revista Brasileira de Política Internacional"
"1798","The Journal of Latin American and Caribbean Anthropology"
"1799","Hispania"
"1800","Ancient Mesoamerica"
"1801","Narrative"
"1802","New Literary History"
"1803","Children's Literature in Education"
"1804","CLCWeb: Comparative Literature and Culture"
"1805","Style"
"1806","English Literary History"
"1807","Poetics Today"
"1808","Children's Literature Association Quarterly"
"1809","Modern Language Quarterly"
"1810","Textual Practice"
"1811","Insight Turkey"
"1812","Middle East Policy"
"1813","Turkish Studies"
"1814","The Journal of North African Studies"
"1815","International Journal of Middle East Studies"
"1816","The Middle East Journal"
"1817","Bulletin of the American Schools of Oriental Research"
"1818","Arab Studies Quarterly"
"1819","British Journal of Middle Eastern Studies"
"1820","Journal of Muslim Minority Affairs"
"1821","Psychology of Music"
"1822","International Society for Music Information Retrieval Conference"
"1823","Journal of Research in Music Education"
"1824","Musicae Scientiae"
"1825","Music Perception: An Interdisciplinary Journal"
"1826","Journal of New Music Research"
"1827","International Journal of Music Education"
"1828","New Interfaces for Musical Expression (NIME)"
"1829","Music Education Research"
"1830","Nordic Journal of Music Therapy"
"1831","Philosophical Studies"
"1832","Synthese"
"1833","Noûs"
"1834","Philosophy and Phenomenological Research"
"1835","Philosophical Psychology"
"1836","Erkenntnis"
"1837","Philosophy Compass"
"1838","Review of Philosophy and Psychology"
"1839","Phenomenology and the Cognitive Sciences"
"1840","Mind"
"1841","Journal of Religion and Health"
"1842","Psychology of Religion and Spirituality"
"1843","Journal for the Scientific Study of Religion"
"1844","Mental Health, Religion & Culture"
"1845","Religion, Brain & Behavior"
"1846","Sociology of Religion"
"1847","The International Journal for the Psychology of Religion"
"1848","Journal of Psychology and Theology"
"1849","Journal of the American Academy of Religion"
"1850","Review of Religious Research"
"1851","Archives of Sexual Behavior"
"1852","The Journal of Sex Research"
"1853","Journal of Homosexuality"
"1854","Culture, Health & Sexuality"
"1855","Sexual Abuse"
"1856","Sexualities"
"1857","Journal of Sex & Marital Therapy"
"1858","Psychology of Sexual Orientation and Gender Diversity"
"1859","LGBT Health"
"1860","Sex Education"
"1861","Studies in Art Education"
"1862","Art Education"
"1863","International Journal of Art & Design Education"
"1864","Leonardo"
"1865","Digital Creativity"
"1866","Journal of Visual Culture"
"1867","Design and Culture"
"1868","The Journal of Aesthetics and Art Criticism"
"1869","The Senses and Society"
"1870","Third Text"
"1871","Industrial Crops and Products"
"1872","Agriculture, Ecosystems & Environment"
"1873","Plant Biotechnology Journal"
"1874","Plant and Soil"
"1875","Field Crops Research"
"1876","Agronomy for Sustainable Development"
"1877","Theoretical and Applied Genetics"
"1878","Agricultural Water Management"
"1879","European Journal of Agronomy"
"1880","Soil and Tillage Research"
"1881","Hormones and Behavior"
"1882","Animal Behaviour"
"1883","Behavioral Ecology"
"1884","Behavioral Ecology and Sociobiology"
"1885","Animal Cognition"
"1886","Applied Animal Behaviour Science"
"1887","Behavioural Processes"
"1888","Journal of Comparative Psychology"
"1889","Journal of the Experimental Analysis of Behavior"
"1890","Ethology"
"1891","Journal of Dairy Science"
"1892","Journal of Animal Science"
"1893","Animal"
"1894","Poultry Science"
"1895","Animal Feed Science and Technology"
"1896","Theriogenology"
"1897","Livestock Science"
"1898","Genetics Selection Evolution"
"1899","Applied Animal Behaviour Science"
"1900","Journal of Animal Science and Biotechnology"
"1901","Journal of Climate"
"1902","Atmospheric Chemistry and Physics"
"1903","Environmental Research Letters"
"1904","Atmospheric Environment"
"1905","Bulletin of the American Meteorological Society"
"1906","Climatic Change"
"1907","Climate Dynamics"
"1908","Agricultural and Forest Meteorology"
"1909","International Journal of Climatology"
"1910","The Cryosphere"
"1911","Nucleic Acids Research"
"1912","Molecular Cell"
"1913","Journal of Biological Chemistry"
"1914","Nature Chemical Biology"
"1915","Nature Structural & Molecular Biology"
"1916","The EMBO Journal"
"1917","Antioxidants & Redox Signaling"
"1918","Free Radical Biology and Medicine"
"1919","Biochimica et Biophysica Acta (BBA)-Molecular Cell Research"
"1920","Biochimica et Biophysica Acta (BBA)-General Subjects"
"1921","Ecological Indicators"
"1922","Biological Conservation"
"1923","Global Ecology and Biogeography"
"1924","Journal of Applied Ecology"
"1925","Conservation Biology"
"1926","Ecological Applications"
"1927","Ecography"
"1928","Landscape Ecology"
"1929","Conservation Letters"
"1930","Journal of Biogeography"
"1931","Bioinformatics"
"1932","PLOS Computational Biology"
"1933","BMC Bioinformatics"
"1934","Briefings in Bioinformatics"
"1935","Database: The Journal of Biological Databases & Curation"
"1936","Journal of Theoretical Biology"
"1937","BMC Systems Biology"
"1938","GigaScience"
"1939","IEEE/ACM Transactions on Computational Biology and Bioinformatics"
"1940","Genomics, Proteomics & Bioinformatics"
"1941","Biophysical Journal"
"1942","Biochimica et Biophysica Acta (BBA)-Biomembranes"
"1943","Biochimica et Biophysica Acta (BBA)-Bioenergetics"
"1944","Current Opinion in Structural Biology"
"1945","Journal of Biomechanics"
"1946","Journal of Photochemistry and Photobiology B: Biology"
"1947","Photosynthesis Research"
"1948","Annual Review of Biophysics"
"1949","Journal of Biophotonics"
"1950","Photochemical & Photobiological Sciences"
"1951","Nature Biotechnology"
"1952","Bioresource Technology"
"1953","Biotechnology Advances"
"1954","Current Opinion in Biotechnology"
"1955","Trends in Biotechnology"
"1956","Applied Microbiology and Biotechnology"
"1957","Biotechnology for Biofuels"
"1958","Metabolic Engineering"
"1959","Biomass and Bioenergy"
"1960","Biotechnology and Bioengineering"
"1961","The Auk"
"1962","Ibis"
"1963","Journal of Avian Biology"
"1964","The Condor"
"1965","Journal of Ornithology"
"1966","Bird Conservation International"
"1967","Avian Conservation and Ecology"
"1968","Journal of Field Ornithology"
"1969","Emu-Austral Ornithology"
"1970","Bird Study"
"1971","New Phytologist"
"1972","The Plant Cell"
"1973","Frontiers in Plant Science"
"1974","Journal Of Experimental Botany"
"1975","Plant Physiology"
"1976","Trends in Plant Sciences"
"1977","The Plant Journal"
"1978","Annual Review of Plant Biology"
"1979","Plant, Cell & Environment"
"1980","Molecular Plant"
"1981","Cell"
"1982","Molecular Cell"
"1983","Nature Reviews. Molecular Cell Biology"
"1984","Nature Cell Biology"
"1985","Cell Reports"
"1986","Oncogene"
"1987","Current Biology"
"1988","Cold Spring Harbor Perspectives in Biology"
"1989","Nature Structural & Molecular Biology"
"1990","The EMBO Journal"
"1991","Cell Stem Cell"
"1992","Development"
"1993","Developmental Cell"
"1994","Stem Cells"
"1995","Stem Cell Reports"
"1996","Seminars in Cell & Developmental Biology"
"1997","Stem Cells and Development"
"1998","Stem Cell Research & Therapy"
"1999","Stem Cells Translational Medicine"
"2000","Annual Review of Cell and Developmental Biology"
"2001","Ecology Letters"
"2002","Molecular Ecology"
"2003","Ecological Indicators"
"2004","Ecology"
"2005","Global Ecology and Biogeography"
"2006","Journal of Ecology"
"2007","Journal of Applied Ecology"
"2008","Molecular Ecology Resources"
"2009","Functional Ecology"
"2010","Ecological Applications"
"2011","Waste Management"
"2012","International Journal of Greenhouse Gas Control"
"2013","Journal of Environmental Chemical Engineering"
"2014","Engineering Geology"
"2015","Journal of Geotechnical and Geoenvironmental Engineering"
"2016","Rock Mechanics and Rock Engineering"
"2017","Computers and Geotechnics"
"2018","Géotechnique"
"2019","Tunnelling and Underground Space Technology"
"2020","Process Safety and Environmental Protection"
"2021","Nature Climate Change"
"2022","Environmental Science & Technology"
"2023","Bioresource Technology"
"2024","Water Research"
"2025","Science of The Total Environment"
"2026","Global Change Biology"
"2027","Journal of Hazardous Materials"
"2028","Chemosphere"
"2029","Environment International"
"2030","Environmental Pollution"
"2031","Trends in Ecology & Evolution"
"2032","Molecular Biology and Evolution"
"2033","Systematic Biology"
"2034","Evolution"
"2035","Molecular Phylogenetics and Evolution"
"2036","Ecology and Evolution"
"2037","Genome Biology and Evolution"
"2038","Evolutionary Applications"
"2039","BMC Evolutionary Biology"
"2040","Heredity"
"2041","Food Chemistry"
"2042","Food Research International"
"2043","Food Control"
"2044","Journal of Agricultural and Food Chemistry"
"2045","Food Hydrocolloids"
"2046","Trends in Food Science & Technology"
"2047","Journal of Food Engineering"
"2048","LWT-Food Science and Technology"
"2049","Critical Reviews in Food Science and Nutrition"
"2050","Meat Science"
"2051","Forest Ecology and Management"
"2052","Tree Physiology"
"2053","International Journal of Wildland Fire"
"2054","Forest Policy and Economics"
"2055","Forests"
"2056","Canadian Journal of Forest Research"
"2057","European Journal of Forest Research"
"2058","Annals of Forest Science"
"2059","Trees"
"2060","Forest Science"
"2061","Geochimica et Cosmochimica Acta"
"2062","Lithos"
"2063","Chemical Geology"
"2064","International Journal of Coal Geology"
"2065","Ore Geology Reviews"
"2066","Applied Geochemistry"
"2067","Journal of Geochemical Exploration"
"2068","Contributions to Mineralogy and Petrology"
"2069","Economic Geology"
"2070","Organic Geochemistry"
"2071","Gondwana Research"
"2072","Earth-Science Reviews"
"2073","Quaternary Science Reviews"
"2074","Lithos"
"2075","Geology"
"2076","Precambrian Research"
"2077","Geomorphology"
"2078","Tectonophysics"
"2079","Journal of Asian Earth Sciences"
"2080","Quaternary International"
"2081","Journal of Hydrology"
"2082","Water Resources Research"
"2083","Hydrology and Earth System Sciences"
"2084","Advances in Water Resources"
"2085","Hydrological Processes"
"2086","Water Resources Management"
"2087","Journal of Hydrometeorology"
"2088","Journal of Water Resources Planning and Management"
"2089","Journal of Hydrologic Engineering"
"2090","Hydrogeology Journal"
"2091","Annual Review of Entomology"
"2092","Insect Biochemistry and Molecular Biology"
"2093","Biological Control"
"2094","Journal of Economic Entomology"
"2095","Journal of Apicultural Research"
"2096","Journal of Pest Science"
"2097","Journal of Invertebrate Pathology"
"2098","Journal of Medical Entomology"
"2099","Journal of Insect Physiology"
"2100","Systematic Entomology"
"2101","Nature"
"2102","Science"
"2103","Nature Communications"
"2104","Proceedings of the National Academy of Sciences"
"2105","PLoS ONE"
"2106","Nature Methods"
"2107","Scientific Reports"
"2108","Cell Metabolism"
"2109","International Journal of Molecular Sciences"
"2110","eLife"
"2111","Marine Pollution Bulletin"
"2112","Fish & Shellfish Immunology"
"2113","Aquatic Toxicology"
"2114","Fish and Fisheries"
"2115","Aquaculture"
"2116","Algal Research"
"2117","Hydrobiologia"
"2118","Progress in Oceanography"
"2119","Journal of Applied Phycology"
"2120","Marine Ecology Progress Series"
"2121","Nature Reviews Microbiology"
"2122","The ISME Journal"
"2123","Frontiers in Microbiology"
"2124","Antimicrobial Agents and Chemotherapy"
"2125","mBio"
"2126","Journal of Clinical Microbiology"
"2127","Clinical Microbiology Reviews"
"2128","Applied and Environmental Microbiology"
"2129","Clinical Microbiology and Infection"
"2130","Trends in Microbiology"
"2131","Cell"
"2132","Nucleic Acids Research"
"2133","Molecular Cell"
"2134","Nature Reviews. Molecular Cell Biology"
"2135","Nature Cell Biology"
"2136","Cell Reports"
"2137","PLOS Genetics"
"2138","Oncogene"
"2139","Cold Spring Harbor Perspectives in Biology"
"2140","Nature Structural & Molecular Biology"
"2141","Fungal Diversity"
"2142","Fungal Genetics and Biology"
"2143","Medical Mycology"
"2144","Mycoses"
"2145","Mycologia"
"2146","Fungal Ecology"
"2147","Persoonia"
"2148","Mycorrhiza"
"2149","Fungal Biology"
"2150","Mycopathologia"
"2151","Journal of Geophysical Research: Oceans"
"2152","Annual Review of Marine Science"
"2153","Progress in Oceanography"
"2154","Marine Ecology Progress Series"
"2155","Global Biogeochemical Cycles"
"2156","Limnology and Oceanography"
"2157","ICES Journal of Marine Science"
"2158","Deep Sea Research Part II: Topical Studies in Oceanography"
"2159","Estuarine, Coastal and Shelf Science"
"2160","Journal of Physical Oceanography"
"2161","Palaeogeography, Palaeoclimatology, Palaeoecology"
"2162","Palaeontology"
"2163","Cretaceous Research"
"2164","Journal of Vertebrate Paleontology"
"2165","Journal of Paleontology"
"2166","Review of Palaeobotany and Palynology"
"2167","Journal of Systematic Palaeontology"
"2168","Paleobiology"
"2169","Acta Palaeontologica Polonica"
"2170","Marine Micropaleontology"
"2171","Pest Management Science"
"2172","Crop Protection"
"2173","Biological Control"
"2174","Journal of Pest Science"
"2175","Pesticide Biochemistry and Physiology"
"2176","Journal of Applied Entomology"
"2177","Journal of Stored Products Research"
"2178","Weed Science"
"2179","Weed Technology"
"2180","BioControl"
"2181","Molecular Plant-Microbe Interactions"
"2182","Annual Review of Phytopathology"
"2183","Phytopathology"
"2184","Molecular Plant Pathology"
"2185","Crop Protection"
"2186","Plant Disease"
"2187","Plant Pathology"
"2188","European Journal of Plant Pathology"
"2189","Forest Pathology"
"2190","Phytopathologia Mediterranea"
"2191","Molecular & Cellular Proteomics"
"2192","Journal of Proteome Research"
"2193","Journal of Proteomics"
"2194","Current Opinion in Structural Biology"
"2195","Proteomics"
"2196","Amino Acids"
"2197","Biochimica et Biophysica Acta (BBA)-Proteins and Proteomics"
"2198","Peptides"
"2199","Protein Science"
"2200","Proteins: Structure, Function, and Bioinformatics"
"2201","Soil Biology and Biochemistry"
"2202","Plant and Soil"
"2203","Geoderma"
"2204","CATENA"
"2205","Soil and Tillage Research"
"2206","Applied Soil Ecology"
"2207","Journal of Environmental Quality"
"2208","Biology and Fertility of Soils"
"2209","Journal of Soils and Sediments"
"2210","European Journal of Soil Science"
"2211","Journal of Cleaner Production"
"2212","Journal of Environmental Management"
"2213","Ecological Economics"
"2214","Ecology and Society"
"2215","Environmental Science & Policy"
"2216","Current Opinion in Environmental Sustainability"
"2217","The International Journal of Life Cycle Assessment"
"2218","Ecosystem Services"
"2219","Sustainability"
"2220","Journal of Sustainable Tourism"
"2221","Renewable and Sustainable Energy Reviews"
"2222","Applied Energy"
"2223","Journal of Power Sources"
"2224","Energy"
"2225","Energy Conversion and Management"
"2226","Renewable Energy"
"2227","Energy and Buildings"
"2228","International Journal of Hydrogen Energy"
"2229","IEEE Transactions on Sustainable Energy"
"2230","Solar Energy"
"2231","PLOS Pathogens"
"2232","Journal of Virology"
"2233","Vaccine"
"2234","Virology"
"2235","Antiviral Research"
"2236","Viruses"
"2237","Journal of General Virology"
"2238","Current Opinion in Virology"
"2239","Journal of Viral Hepatitis"
"2240","Retrovirology"
"2241","Cellulose"
"2242","BioResources"
"2243","Wood Science and Technology"
"2244","European Journal of Wood and Wood Products"
"2245","Holzforschung"
"2246","International Association of Wood Anatomists Journal"
"2247","Nordic Pulp & Paper Research Journal"
"2248","Journal of Wood Science"
"2249","Journal of Wood Chemistry and Technology"
"2250","Maderas. Ciencia y Tecnología"
"2251","Molecular Phylogenetics and Evolution"
"2252","Zootaxa"
"2253","Frontiers in Zoology"
"2254","Biological Journal of the Linnean Society"
"2255","Systematic Entomology"
"2256","Zoological Journal of the Linnean Society"
"2257","Mammal Review"
"2258","International Journal for Parasitology: Parasites and Wildlife"
"2259","Journal of Zoology"
"2260","Marine Mammal Science"
"2261","IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"
"2262","Conference of the International Speech Communication Association (INTERSPEECH)"
"2263","Journal of Sound and Vibration"
"2264","The Journal of the Acoustical Society of America"
"2265","IEEE/ACM Transactions on Audio, Speech and Language Processing (TASLP)"
"2266","IEEE Transactions on Audio, Speech, and Language Processing"
"2267","Ultrasonics"
"2268","Applied Acoustics"
"2269","Ear and Hearing"
"2270","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control"
"2271","Inventiones Mathematicae"
"2272","Advances in Mathematics"
"2273","Linear Algebra and its Applications"
"2274","Transactions of the American Mathematical Society"
"2275","Proceedings of the American Mathematical Society"
"2276","Compositio Mathematica"
"2277","Israel Journal of Mathematics"
"2278","Journal of Algebra"
"2279","Proceedings of the London Mathematical Society"
"2280","Mathematische Zeitschrift"
"2281","The Astrophysical Journal"
"2282","Monthly Notices of the Royal Astronomical Society"
"2283","Astronomy & Astrophysics"
"2284","Journal of Cosmology and Astroparticle Physics"
"2285","The Astrophysical Journal Supplement Series"
"2286","The Astronomical Journal"
"2287","Classical and Quantum Gravity"
"2288","Space Science Reviews"
"2289","Icarus"
"2290","Astroparticle Physics"
"2291","Biophysical Journal"
"2292","Biochimica et Biophysica Acta (BBA)-Biomembranes"
"2293","Biochimica et Biophysica Acta (BBA)-Bioenergetics"
"2294","Current Opinion in Structural Biology"
"2295","Journal of Biomechanics"
"2296","Journal of Photochemistry and Photobiology B: Biology"
"2297","Photosynthesis Research"
"2298","Annual Review of Biophysics"
"2299","Journal of Biophotonics"
"2300","Photochemical & Photobiological Sciences"
"2301","Journal of Computational Physics"
"2302","Computer Methods in Applied Mechanics and Engineering"
"2303","Applied Mathematics and Computation"
"2304","SIAM Journal on Scientific Computing"
"2305","SIAM Journal on Optimization"
"2306","SIAM Journal on Numerical Analysis"
"2307","Computers & Mathematics with Applications"
"2308","Journal of Computational and Applied Mathematics"
"2309","Mathematics of Computation"
"2310","Foundations of Computational Mathematics"
"2311","Physical Review B"
"2312","Applied Physics Letters"
"2313","Physical Review X"
"2314","Journal of Applied Physics"
"2315","Journal of Physics: Condensed Matter"
"2316","Journal of Magnetism and Magnetic Materials"
"2317","IEEE Transactions on Electron Devices"
"2318","EPL (Europhysics Letters)"
"2319","IEEE Electron Device Letters"
"2320","Applied Physics Express"
"2321","Discrete Applied Mathematics"
"2322","Designs, Codes and Cryptography"
"2323","Compositio Mathematica"
"2324","Journal of Combinatorial Optimization"
"2325","SIAM Journal on Discrete Mathematics"
"2326","Random Structures & Algorithms"
"2327","Algebra & Number Theory"
"2328","Discrete Mathematics"
"2329","Journal of Number Theory"
"2330","Finite Fields and Their Applications"
"2331","IEEE Transactions on Antennas and Propagation"
"2332","IEEE Transactions on Microwave Theory and Techniques"
"2333","IEEE Antennas and Wireless Propagation Letters"
"2334","IEEE Microwave and Wireless Components Letters"
"2335","IEEE Microwave Magazine"
"2336","Progress In Electromagnetics Research"
"2337","IEEE Transactions on Terahertz Science and Technology"
"2338","AEUE-International Journal of Electronics and Communications"
"2339","IEEE Transactions on Electromagnetic Compatibility"
"2340","IET Microwaves, Antennas & Propagation"
"2341","Journal of Fluid Mechanics"
"2342","Annual Review of Fluid Mechanics"
"2343","Computers & Fluids"
"2344","Physics of Fluids"
"2345","International Journal of Multiphase Flow"
"2346","Experiments in Fluids"
"2347","Journal of Fluids and Structures"
"2348","International Journal of Heat and Fluid Flow"
"2349","Flow, Turbulence and Combustion"
"2350","Journal of Non-Newtonian Fluid Mechanics"
"2351","Inventiones Mathematicae"
"2352","Geometry & Topology"
"2353","Mathematische Annalen"
"2354","Geometric and Functional Analysis"
"2355","Journal of Differential Geometry"
"2356","Journal of Topology"
"2357","The Journal of Geometric Analysis"
"2358","Mathematische Zeitschrift"
"2359","Discrete & Computational Geometry"
"2360","Algebraic & Geometric Topology"
"2361","Nature Geoscience"
"2362","Journal of Geophysical Research"
"2363","Geophysical Research Letters"
"2364","Earth and Planetary Science Letters"
"2365","Geophysics"
"2366","Tectonophysics"
"2367","Geophysical Journal International"
"2368","Reviews of Geophysics"
"2369","Bulletin of the Seismological Society of America"
"2370","Journal of Volcanology and Geothermal Research"
"2371","Journal of High Energy Physics"
"2372","Physical Review D"
"2373","Physics Letters B"
"2374","The European Physical Journal C"
"2375","Physics Reports"
"2376","Physical Review C"
"2377","Nuclear Physics B"
"2378","Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment"
"2379","Journal of Instrumentation"
"2380","Progress in Particle and Nuclear Physics"
"2381","Journal of Differential Equations"
"2382","Communications on Pure and Applied Mathematics"
"2383","Fixed Point Theory and Applications"
"2384","Archive for Rational Mechanics and Analysis"
"2385","Abstract and Applied Analysis"
"2386","Journal of Mathematical Analysis and Applications"
"2387","Journal of Inequalities and Applications"
"2388","Journal of Functional Analysis"
"2389","Calculus of Variations and Partial Differential Equations"
"2390","Advances in Difference Equations"
"2391","Mathematical Programming"
"2392","SIAM Journal on Optimization"
"2393","Fixed Point Theory and Applications"
"2394","Structural and Multidisciplinary Optimization"
"2395","SIAM Journal on Control and Optimization"
"2396","Journal of Global Optimization"
"2397","Journal of Optimization Theory and Applications"
"2398","Mathematics of Operations Research"
"2399","Computational Optimization and Applications"
"2400","Optimization Letters"
"2401","Communications in Mathematical Physics"
"2402","Journal of Physics A: Mathematical and Theoretical"
"2403","Journal of Statistical Mechanics: Theory and Experiment"
"2404","Journal of Mathematical Physics"
"2405","Annals of Physics"
"2406","Journal of Statistical Physics"
"2407","Annales Henri Poincaré"
"2408","International Journal of Theoretical Physics"
"2409","Advances in Theoretical and Mathematical Physics"
"2410","Letters in Mathematical Physics"
